Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C)
13,61,85,7341.338785590936,7401.533130593867,,,590.8691501277029,191.65733491040245,0.006191169541985447,2015-12-25,2016-01-28,34 days,,7236.657258443552,7463.894667242057
13,94,100,7521.562170970978,7222.669161520064,,,-4077.284130184256,191.67500732238355,-0.04169841764970958,2016-02-10,2016-02-18,8 days,,7483.976912701323,7451.005755566129
12,114,135,7436.288667328751,7536.992064090358,,,1028.761392362256,179.6793687770293,0.011528615935371463,2016-03-09,2016-04-07,29 days,,7311.920573324894,7581.667517249369
12,158,195,7515.485975231921,8135.9009433381925,,,7257.16297425242,187.81664302284133,0.08046899204931848,2016-05-10,2016-06-30,51 days,,7469.475863328844,8243.091346940748
12,208,230,8285.831909030849,8904.983247799488,,,7223.5262833417055,206.28978188196405,0.07264937669755554,2016-07-19,2016-08-18,30 days,,8175.2916802548225,9039.716968118275
12,241,244,8930.722784107635,8978.15364050761,,,354.2637597043147,214.90651709538292,0.003305665251181428,2016-09-02,2016-09-07,5 days,,8986.204106360652,8981.840484222912
12,254,266,9251.40682227904,8862.00237026067,,,-4890.214334530902,217.36091031047653,-0.04404928558860185,2016-09-21,2016-10-07,16 days,,9025.126577085333,9099.094503086404
12,283,343,8870.10532221759,10055.880959261825,,,14002.195809153065,227.11183537775298,0.1315485677312155,2016-11-01,2017-01-24,84 days,,8773.746526437588,10202.988298302089
12,364,390,10084.349394086923,10675.008879367944,,,6838.801524090797,249.1122992814584,0.05651332621832138,2017-02-22,2017-03-30,36 days,,9872.4547681121,10670.226450161184
11,395,408,10906.494187939054,10729.21100902495,,,-2188.1077252217447,237.99275716660404,-0.01823857242147002,2017-04-06,2017-04-25,19 days,,10756.934303716305,10807.267323299477
11,420,439,11305.490766060699,11673.380841714194,,,3794.0232445029205,252.76758768552384,0.03050829116425011,2017-05-11,2017-06-07,27 days,,10822.674487173766,11783.20822670283
11,481,491,11213.703203897356,11150.7714080071,,,-938.2589755237614,246.00922073094904,-0.00760643196553619,2017-08-04,2017-08-18,14 days,,10841.911514826681,10893.646736395212
11,496,508,11185.00773811085,10803.574868469841,,,-4437.63597472348,241.8744086723876,-0.03606805303075512,2017-08-25,2017-09-12,18 days,,11050.23197960846,11075.719580363093
12,558,573,9606.991993003368,9731.109157741244,,,1257.3487630455768,232.05721380893536,0.010906542200039292,2017-11-21,2017-12-12,21 days,,9604.983139602842,9722.03163539793
12,585,603,10104.40312865665,10143.303065136446,,,223.82676343204025,242.97247432551717,0.0018459507254916705,2017-12-28,2018-01-23,26 days,,9685.937093152439,9988.068020445926
12,605,640,10435.960288722488,10765.566759714413,,,3700.859327321853,254.4183245812428,0.029552138510603728,2018-01-25,2018-03-15,49 days,,10021.174924278053,11163.868074019754
11,657,669,11015.678833723514,10753.060679435737,,,-3128.2558318102947,239.45613464475178,-0.025816556391450998,2018-04-09,2018-04-25,16 days,,10733.696872080985,10843.444438076895
11,686,706,10548.674100521775,10310.027683265978,,,-2854.556309435434,229.4457196216653,-0.02460073337811709,2018-05-18,2018-06-15,28 days,,10569.061740693764,10671.375237705965
11,719,727,10652.03359723018,10447.360676242984,,,-2483.4954678673557,232.0933370082048,-0.021195231239166903,2018-07-04,2018-07-16,12 days,,10579.391001946702,10539.550623798083
11,741,749,10435.189355493902,10046.990217252644,,,-4495.49449595405,225.30397530021202,-0.03916376635742046,2018-08-03,2018-08-15,12 days,,10423.07704450864,10376.658823862224
11,763,812,10437.50493009496,11397.231187089332,,,10316.806729649068,240.1820972890272,0.08985782781983839,2018-09-04,2018-11-12,69 days,,10088.290171825282,11255.76902487213
11,813,837,11473.684402779849,12045.014456655046,,,6025.924905173387,258.70568745378387,0.04774502555456715,2018-11-13,2018-12-17,34 days,,11268.486519949984,12085.82588890174
10,847,907,12646.360342787859,16096.932097651885,,,34218.28462423586,287.43292440439745,0.2705781244304835,2018-12-31,2019-03-25,84 days,,12148.800675746617,15607.967038823565
9,958,979,17454.992314998024,17196.82560546909,,,-2635.36674704461,311.866361284204,-0.016775631989124407,2019-06-04,2019-07-03,29 days,,16988.716304541213,18212.360610689393
